x	y	z	t	dist
0.122617	241.296	39.3223	21.3217	13.503
-0.0175043	240.713	39.2309	21.3778	12.9122
-0.132429	240.173	39.1463	21.4299	12.3665
-0.267777	239.615	39.0589	21.484	11.8028
-0.370515	239.049	38.9702	21.538	11.2336
-0.479447	238.483	38.8815	21.5925	10.6642
-0.57568	237.949	38.7978	21.6438	10.1278
-0.692416	237.376	38.708	21.6991	9.55284
-0.773423	236.855	38.6263	21.7494	9.03088
-0.863679	236.277	38.5358	21.8045	8.4535
-0.926828	235.733	38.4505	21.8559	7.91
-0.988508	235.161	38.3608	21.9096	7.33921
-1.02835	234.58	38.2697	21.9639	6.7597
-1.06295	234.025	38.1827	22.0153	6.20627
-1.07972	233.412	38.0867	22.0722	5.59521
-1.08482	232.832	37.9957	22.1257	5.01568
-1.07391	232.229	37.9013	22.1817	4.41386
-1.04863	231.691	37.8169	22.2318	3.87491
-1.01073	231.128	37.7287	22.2841	3.31097
-0.951699	230.53	37.6349	22.34	2.7098
-0.878995	229.957	37.5451	22.3941	2.13411
-0.806603	229.389	37.4562	22.4476	1.56535
-0.720099	228.845	37.3708	22.4995	1.02363
-0.600827	228.258	37.2789	22.5554	0.477609
-0.481279	227.728	37.1959	22.6061	-1
-0.35995	227.173	37.1088	22.66	14.2154
-0.236627	226.617	37.0216	22.7141	13.6516
-0.0781953	226.039	36.931	22.7704	13.0636
0.0573814	225.512	36.8485	22.8213	12.5293
0.189874	224.99	36.7667	22.8718	12.0013
0.354784	224.422	36.6776	22.9278	11.4259
0.493595	223.837	36.5859	22.9844	10.8365
0.655928	223.243	36.4929	23.0421	10.2396
0.79362	222.705	36.4086	23.0944	9.70096
0.917931	222.156	36.3225	23.1476	9.15239
1.02382	221.628	36.2398	23.1985	8.62681
1.11466	221.079	36.1538	23.2509	8.08103
1.19957	220.526	36.067	23.3034	7.53189
1.28552	219.968	35.9795	23.3567	6.98012
1.34269	219.422	35.894	23.4081	6.44042
1.38043	218.861	35.8061	23.4607	5.88509
1.40283	218.294	35.7172	23.5136	5.32394
1.41691	217.714	35.6263	23.5677	4.74934
1.40938	217.163	35.5399	23.6193	4.20245
1.38554	216.628	35.4561	23.6695	3.6703
1.34407	216.052	35.3658	23.7235	3.09524
1.27673	215.493	35.2782	23.7761	2.53358
1.20289	214.901	35.1854	23.8321	1.93851
1.09961	214.363	35.1011	23.8835	1.39112
0.998882	213.777	35.0093	23.94	0.798052
0.899601	213.231	34.9237	23.9922	0.247489
0.782222	212.669	34.8356	24.0464	-1
0.647449	212.155	34.7551	24.0966	14.0445
0.532327	211.626	34.6721	24.1479	13.5058
0.412528	211.061	34.5836	24.2023	12.9322
0.290864	210.527	34.4998	24.2543	12.389
0.141362	209.935	34.4071	24.3114	11.7872
0.0360952	209.408	34.3245	24.3619	11.2534
-0.0866356	208.87	34.2402	24.4136	10.7086
-0.21941	208.31	34.1525	24.4672	10.1413
-0.323505	207.744	34.0636	24.521	9.56969
-0.410102	207.206	33.9794	24.5718	9.02896
-0.495436	206.669	33.8951	24.6227	8.48825
-0.586052	206.08	33.8028	24.6782	7.89682
-0.647614	205.489	33.7103	24.7335	7.3049
-0.707315	204.935	33.6235	24.7853	6.75007
-0.749679	204.393	33.5385	24.8354	6.20775
-0.776644	203.832	33.4506	24.8862	5.64633
-0.799373	203.212	33.3533	24.9413	5.02579
-0.812246	202.633	33.2626	24.992	4.44696
-0.814055	202.019	33.1665	25.0455	3.83364
-0.801284	201.399	33.0692	25.0998	3.21329
-0.775968	200.819	32.9784	25.1505	2.63379
-0.74277	200.214	32.8835	25.2035	2.02884
-0.696602	199.628	32.7916	25.2549	1.44586
-0.625503	198.983	32.6906	25.3116	0.816278
-0.562506	198.381	32.5962	25.365	0.307452
-0.463839	197.782	32.5023	25.4186	-1
-0.374119	197.195	32.4103	25.4705	13.8778
-0.249398	196.571	32.3125	25.5266	13.2458
-0.138485	195.943	32.2141	25.5831	12.6112
-0.00138771	195.358	32.1223	25.6363	12.0176
0.124463	194.799	32.0347	25.6868	11.4519
0.254155	194.218	31.9437	25.7391	10.865
0.400334	193.602	31.8472	25.795	10.2432
0.522592	192.966	31.7476	25.8522	9.60362
0.641346	192.41	31.6603	25.9026	9.04441
0.78068	191.822	31.5682	25.9561	8.45522
0.899881	191.233	31.4759	26.0096	7.86695
1.00929	190.674	31.3883	26.0604	7.31017
1.10885	190.077	31.2947	26.1142	6.71703
1.21658	189.498	31.204	26.1664	6.1457
1.29077	188.885	31.1078	26.2208	5.53979
1.35052	188.293	31.0151	26.2733	4.95671
1.40289	187.689	30.9204	26.3267	4.36413
1.43313	187.069	30.8233	26.3812	3.75608
1.45237	186.468	30.7291	26.4341	3.16955
1.45665	185.872	30.6356	26.4868	2.58961
1.44072	185.26	30.5398	26.5405	1.99893
1.41154	184.667	30.4469	26.5926	1.43727
1.36637	184.086	30.3557	26.6441	0.915466
1.31204	183.529	30.2684	26.6942	0.537053
1.23528	182.955	30.1785	26.7455	0.598981
1.12817	182.389	30.0897	26.7964	13.9749
1.02736	181.802	29.9978	26.8492	13.3804
0.918078	181.24	29.9097	26.9004	12.8084
0.797686	180.69	29.8234	26.9507	12.2471
0.634817	180.074	29.7269	27.007	11.6154
0.494364	179.491	29.6355	27.0604	11.0196
0.329871	178.893	29.5419	27.1155	10.4075
